15:14:51.230097698;15:14:51.246592598;
15:14:51.246615556;15:14:51.268209239;
15:14:51.268230324;15:14:51.282422569;
15:14:51.282446253;15:14:51.292458980;
15:14:51.292479519;15:14:51.305026109;
15:14:51.305048118;15:14:51.315621222;
15:14:51.315652313;15:14:51.326663716;
15:14:51.326708698;15:14:51.338875123;
15:14:51.338897404;15:14:51.349618034;
15:14:51.349638888;15:14:51.366508952;
15:14:51.366533240;15:14:51.376901749;
15:14:51.376920947;15:14:51.387439940;
15:14:51.387459208;15:14:51.401021752;
15:14:51.401043102;15:14:51.412002204;
15:14:51.412024871;15:14:51.421345903;
15:14:51.421368215;15:14:51.429512485;
15:14:51.429531616;15:14:51.438256883;
15:14:51.438332795;15:14:51.448161397;
15:14:51.448181649;15:14:51.457440603;
15:14:51.457457786;15:14:51.468923402;
