18:27:21.081103411;18:27:21.101001645;
18:27:21.162500051;18:27:21.162640865;
18:27:21.214743924;18:27:21.214858771;
18:27:21.272312601;18:27:21.272467676;
18:27:21.311702964;18:27:21.311829912;
18:27:21.346965349;18:27:21.347084845;
18:27:21.395306452;18:27:21.395464193;
18:27:21.446367369;18:27:21.446529247;
18:27:21.488813185;18:27:21.488974845;
18:27:21.554406762;18:27:21.554650394;
18:27:21.598399336;18:27:21.598517947;
18:27:21.654455775;18:27:21.654758805;
18:27:21.701649295;18:27:21.701850631;
18:27:21.753053701;18:27:21.753192626;
18:27:21.788391835;18:27:21.788517608;
18:27:21.833880074;18:27:21.834087537;
18:27:21.887050856;18:27:21.887366465;
18:27:21.941864436;18:27:21.942097800;
18:27:21.994447411;18:27:21.994554024;
18:27:22.036136053;18:27:22.036396174;
