18:25:57.320263002;18:25:57.320405351;
18:25:57.329373167;18:25:57.329429503;
18:25:57.344694767;18:25:57.344831863;
18:25:57.352549010;18:25:57.352598939;
18:25:57.360821317;18:25:57.360894220;
18:25:57.370409681;18:25:57.370480619;
18:25:57.378727719;18:25:57.378803793;
18:25:57.388495030;18:25:57.388560607;
18:25:57.398715188;18:25:57.398803990;
18:25:57.410330603;18:25:57.410439850;
18:25:57.418790384;18:25:57.418850663;
18:25:57.426226601;18:25:57.426298735;
18:25:57.441128025;18:25:57.441272723;
18:25:57.468241987;18:25:57.468298656;
18:25:57.486073209;18:25:57.486160221;
18:25:57.497421014;18:25:57.497491201;
18:25:57.507746272;18:25:57.507908206;
18:25:57.519562972;18:25:57.519663698;
18:25:57.531429871;18:25:57.531497264;
18:25:57.549545278;18:25:57.549593489;
