15:15:11.064265254;15:15:11.081336258;
15:15:11.081366233;15:15:11.095904714;
15:15:11.095954112;15:15:11.104231113;
15:15:11.104283087;15:15:11.112807851;
15:15:11.112891162;15:15:11.122209733;
15:15:11.122274716;15:15:11.130702392;
15:15:11.130763974;15:15:11.140632588;
15:15:11.140690410;15:15:11.150686166;
15:15:11.150742160;15:15:11.161864741;
15:15:11.161927851;15:15:11.170483472;
15:15:11.170507076;15:15:11.178007983;
15:15:11.178035328;15:15:11.191988724;
15:15:11.192011816;15:15:11.201186977;
15:15:11.201211307;15:15:11.229665527;
15:15:11.229688587;15:15:11.248897466;
15:15:11.249347085;15:15:11.259227400;
15:15:11.259586788;15:15:11.270737295;
15:15:11.271168686;15:15:11.282576074;
15:15:11.282599034;15:15:11.301248649;
15:15:11.301278959;15:15:11.309643567;
