18:26:09.132661360;18:26:09.132721374;
18:26:09.143931083;18:26:09.144123989;
18:26:09.157582236;18:26:09.157761861;
18:26:09.169439465;18:26:09.169515829;
18:26:09.182959768;18:26:09.183061194;
18:26:09.192256769;18:26:09.192347519;
18:26:09.203349548;18:26:09.203427215;
18:26:09.215550853;18:26:09.215664776;
18:26:09.226223357;18:26:09.226338022;
18:26:09.237340771;18:26:09.237418143;
18:26:09.251161413;18:26:09.251273106;
18:26:09.261669677;18:26:09.261786978;
18:26:09.273218616;18:26:09.273313745;
18:26:09.285823877;18:26:09.285946912;
18:26:09.294874420;18:26:09.294967806;
18:26:09.305012444;18:26:09.305088585;
18:26:09.314335236;18:26:09.314395189;
18:26:09.323690939;18:26:09.323782732;
18:26:09.333824372;18:26:09.333969307;
18:26:09.341974916;18:26:09.342074271;
