15:16:34.811411948;15:16:34.909791318;
15:16:34.909815036;15:16:34.957772559;
15:16:34.957794436;15:16:35.015372745;
15:16:35.015400437;15:16:35.058417415;
15:16:35.058467146;15:16:35.097747773;
15:16:35.097767105;15:16:35.142031295;
15:16:35.142050998;15:16:35.182987039;
15:16:35.183006676;15:16:35.237702211;
15:16:35.237720736;15:16:35.299021329;
15:16:35.299398936;15:16:35.346119678;
15:16:35.346662064;15:16:35.394942609;
15:16:35.395028796;15:16:35.445469354;
15:16:35.445517647;15:16:35.498511814;
15:16:35.498529678;15:16:35.539660755;
15:16:35.539681289;15:16:35.578139382;
15:16:35.578161399;15:16:35.636665246;
15:16:35.636695225;15:16:35.692758784;
15:16:35.692779870;15:16:35.744882695;
15:16:35.744901424;15:16:35.785147114;
15:16:35.785173617;15:16:35.822189660;
