18:26:25.373540897;18:26:25.743005247;
18:26:25.831121978;18:26:26.245292257;
18:26:26.335650467;18:26:26.651178919;
18:26:26.718518923;18:26:27.064517784;
18:26:27.132485884;18:26:27.473428094;
18:26:27.561010325;18:26:27.828179973;
18:26:27.943644981;18:26:28.227269768;
18:26:28.327765273;18:26:28.650318472;
18:26:28.784161790;18:26:29.107597528;
18:26:29.259421594;18:26:29.576068447;
18:26:29.661380265;18:26:29.930554528;
18:26:30.060191516;18:26:30.298621814;
18:26:30.406008139;18:26:30.637852095;
18:26:30.741185354;18:26:31.050562417;
18:26:31.209158203;18:26:31.565888637;
18:26:31.683069407;18:26:31.998990375;
18:26:32.114423533;18:26:32.417824685;
18:26:32.547632995;18:26:32.776340827;
18:26:32.921183570;18:26:33.204876725;
18:26:33.306431406;18:26:33.609419072;
