0,017886;6e-05;0,017825999999999998
0,01227;0,000192;0,012078
0,011687;0,000179;0,011508
0,013078;7,6e-05;0,013002
0,010555;0,000102;0,010453
0,010622;9,1e-05;0,010530999999999999
0,009918;7,8e-05;0,00984
0,011206;0,000114;0,011092000000000001
0,010843;0,000115;0,010728
0,012489;7,8e-05;0,012411
0,009904;0,000112;0,009792
0,012969;0,000117;0,012851999999999999
0,011465;9,5e-05;0,01137
0,010243;0,000123;0,01012
0,010715;9,3e-05;0,010622000000000001
0,009708;7,6e-05;0,009632
0,008503;6e-05;0,008443
0,010226;9,2e-05;0,010134
0,00879;0,000145;0,008645
0,010044;0,0001;0,009944000000000001
