0,191025;0,000111;0,190914
0,012184;0,000182;0,012002
0,010779;0,000111;0,010668
0,011835;5,8e-05;0,011777
0,009665;8,7e-05;0,009578
0,008564;8e-05;0,008484
0,013455;5,8e-05;0,013397
0,012621;0,000141;0,01248
0,010874;9,6e-05;0,010778
0,009329;0,000189;0,00914
0,011761;0,00016;0,011601
0,008067;8,2e-05;0,007984999999999999
0,01724;8,3e-05;0,017157
0,009746;4,7e-05;0,009699
0,020376;0,000106;0,02027
0,018341;7,5e-05;0,018266
0,035641;8,1e-05;0,03556
0,031677;0,000104;0,031573
0,011645;8e-05;0,011565
0,011662;0,000238;0,011424
